As,Au,Co,Cu,Fe,Hg,Mn,Mo,Ni,U,Zn,x,y
3,16,22,62,7.25,176,1050,5,57,3,170,464671.1003,6190022.451
2,4,13,28,3.1500001,34,670,-2,34,1.60000002,86,464671.1914,6158122.285
3,11,18,54,3.79999995,104,870,3,46,3,140,465170.8872,6182222.97
6,9,24,58,2.75,78,490,3,62,2,112,465271.4906,6154522.628
1,2,4,3,1.64999998,12,320,-2,3,0.80000001,20,465371.2811,6165622.456
1,15,13,32,3.5,170,395,2,36,1.5,100,465570.7253,6193722.652
8,5,10,53,1.79999995,28,395,4,42,2.5,76,465571.1735,6133622.62
4,13,13,36,2.6500001,170,240,2,34,3,110,465670.8713,6186922.492
2,-1,14,39,3.20000005,70,760,2,33,2.20000005,108,465770.6934,6206722.269
2,11,15,45,3.04999995,156,680,3,37,1.5,174,465870.9494,6200222.53
6,13,28,57,3.54999995,156,1000,5,80,2,130,465871.1506,6196522.847
2,8,13,60,1.5,70,370,5,26,1.70000005,78,465971.142,6149423.16
3,-1,8,28,2,40,265,4,23,2.79999995,108,466171.5776,6141122.381
5,9,13,31,3.9000001,86,725,2,32,16.89999962,116,466370.9397,6172723.159
4,7,9,32,3.54999995,34,450,4,18,3.20000005,140,466471.5482,6138022.924
1,18,13,20,2.6500001,230,305,3,26,1,86,466771.2372,6203422.143
4,6,6,28,1.29999995,76,215,2,14,0.60000002,92,467270.6453,6209522.177
3,-1,12,30,2.1500001,89,425,2,37,2,94,467671.275,6161622.873
1,8,7,27,2,70,585,2,9,3.79999995,96,467671.4396,6143023.166
4,7,5,35,2,42,180,2,27,3.5,62,467771.3155,6167422.684
1,4,12,47,3.25,50,855,3,21,4,118,467871.3965,6139023.099
1,-1,6,7,1.04999995,120,210,2,12,0.2,30,468071.1884,6201122.857
1,5,8,21,2.5,30,355,-2,22,2,78,468170.6592,6213322.065
5,-2,14,53,2.29999995,78,460,3,39,2.20000005,84,468171.5458,6152222.486
1,-1,8,8,2.79999995,18,855,-2,10,0.2,54,468271.1243,6206322.489
4,0,42,55,7,188,1750,3,31,2.5,96,468271.1476,6185922.146
-1,0,10,25,2,110,530,4,15,4.4000001,61,468376.9899,6218008.735
1,16,24,40,3.5,196,1100,3,50,2,130,468570.7338,6193022.025
1,12,15,22,2.45000005,132,320,5,31,1.5,88,468571.1397,6203922.898
1,12,15,28,4.0999999,132,550,2,42,3,106,468571.303,6182622.22
0,0,9,28,2.0999999,160,445,6,13,4.4000001,88,468615.1159,6219271.429
6,7,23,75,3.3499999,40,2200,3,68,3.20000005,180,468671.1102,6137823.2
2,3,17,28,2.20000005,40,490,2,32,2,120,468671.4414,6134922.908
3,7,23,37,3,62,1250,3,68,3,114,468771.5936,6158623.269
4,13,85,82,7.3499999,124,18000,6,220,1,450,468971.4782,6175222.529
-1,1,4,6,1.79999995,22,700,-2,6,0.60000002,26,469171.2265,6164423.203
3,35,10,55,2.5,500,220,2,33,1.5,110,469270.9909,6189422.003
3,9,16,26,3.95000005,110,500,3,40,3,110,469271.0505,6179222.644
-1,0,7,20,17,95,1010,2,14,2,51,469633.1832,6228503.512
3,17,11,23,2.3499999,236,295,2,26,1.5,86,469670.7999,6195822.302
4,4,15,30,4,42,1000,2,34,9.69999981,114,469771.0926,6173122.316
4,7,12,41,1.85000002,78,230,3,43,2.79999995,84,470171.531,6156122.754
1,7,16,17,7.4000001,42,835,5,6,1.70000005,166,470371.0712,6147622.913
-1,0,9,17,2.5999999,90,625,3,17,3.5,79,470468.1591,6220894.511
-1,0,4,6,1.39999998,45,115,-2,16,1.5,62,470748.6458,6229202.55
